,count,x_col,y_row,x_min,y_min,x_max,y_max
0,63,27,69,0.0966117472294921,0.2468966873642576,0.10018996008984367,0.25047490022460916
1,40,45,73,0.16101957871582018,0.26120953880566383,0.16459779157617174,0.26478775166601537
2,40,23,95,0.08229889578808587,0.33993022173339815,0.08587710864843742,0.3435084345937497
3,50,229,48,0.8194107450205071,0.17175421729687484,0.8229889578808587,0.1753324301572264
4,37,107,36,0.3828687760576169,0.12881566297265615,0.3864469889179684,0.13239387583300768
5,52,23,83,0.08229889578808587,0.2969916674091794,0.08587710864843742,0.30056988026953096
6,61,114,51,0.40791626608007775,0.18248885587792954,0.41149447894042934,0.18606706873828108
7,38,20,102,0.07156425720703119,0.3649777117558591,0.07514247006738274,0.3685559246162106
8,29,90,103,0.32203915743164035,0.3685559246162106,0.3256173702919919,0.37213413747656215
9,31,71,77,0.2540531130849607,0.2755223902470701,0.2576313259453123,0.27910060310742163
10,36,130,30,0.46516767184570273,0.10734638581054678,0.46874588470605427,0.11092459867089834
11,50,156,99,0.5582012062148433,0.35424307317480436,0.5617794190751948,0.35782128603515595
12,49,143,38,0.5116844390302729,0.13597208869335925,0.5152626518906246,0.13955030155371081
13,31,145,105,0.5188408647509761,0.37571235033691375,0.5224190776113277,0.3792905631972653
14,54,51,43,0.18248885587792954,0.15386315299511705,0.18606706873828108,0.1574413658554686
15,65,47,36,0.16817600443652328,0.12881566297265615,0.17175421729687484,0.13239387583300768
16,42,68,72,0.24331847450390603,0.2576313259453123,0.2468966873642576,0.26120953880566383
17,59,115,41,0.41149447894042934,0.14670672727441395,0.4150726918007809,0.15028494013476548
18,57,112,65,0.4007598403593747,0.23258383592285137,0.4043380532197262,0.23616204878320293
19,61,216,58,0.7728939778359368,0.20753634590039044,0.7764721906962884,0.211114558760742
20,60,32,83,0.1145028115312499,0.2969916674091794,0.11808102439160147,0.30056988026953096
21,28,84,86,0.30056988026953096,0.3077263059902341,0.30414809312988256,0.3113045188505857
22,45,22,97,0.0787206829277343,0.3470866474541013,0.08229889578808587,0.3506648603144528
23,33,129,112,0.46158945898535114,0.4007598403593747,0.46516767184570273,0.4043380532197262
24,28,84,97,0.30056988026953096,0.3470866474541013,0.30414809312988256,0.3506648603144528
25,41,16,52,0.05725140576562495,0.18606706873828108,0.06082961862597651,0.18964528159863264
26,55,213,64,0.7621593392548821,0.2290056230624998,0.7657375521152338,0.23258383592285137
27,18,193,116,0.6905950820478509,0.4150726918007809,0.6941732949082026,0.4186509046611325
28,36,157,17,0.5617794190751948,0.06082961862597651,0.5653576319355463,0.06440783148632807
29,53,153,98,0.5474665676337885,0.3506648603144528,0.5510447804941402,0.35424307317480436
30,35,157,27,0.5617794190751948,0.0966117472294921,0.5653576319355463,0.10018996008984367
31,40,39,27,0.13955030155371081,0.0966117472294921,0.14312851441406238,0.10018996008984367
32,61,199,77,0.7120643592099604,0.2755223902470701,0.7156425720703119,0.27910060310742163
33,34,197,21,0.7049079334892572,0.07514247006738274,0.7084861463496087,0.0787206829277343
34,29,114,13,0.40791626608007775,0.04651676718457027,0.41149447894042934,0.050094980044921834
35,35,163,101,0.5832486962373041,0.3613994988955075,0.5868269090976558,0.3649777117558591
36,39,17,91,0.06082961862597651,0.3256173702919919,0.06440783148632807,0.3291955831523435
37,40,84,30,0.30056988026953096,0.10734638581054678,0.30414809312988256,0.11092459867089834
38,39,211,99,0.755002913534179,0.35424307317480436,0.7585811263945306,0.35782128603515595
39,37,81,54,0.2898352416884763,0.1932234944589842,0.2934134545488279,0.19680170731933577
40,26,171,67,0.6118743991201167,0.23974026164355447,0.6154526119804682,0.24331847450390603
41,48,225,39,0.8050978935791009,0.13955030155371081,0.8086761064394524,0.14312851441406238
42,54,100,74,0.35782128603515595,0.26478775166601537,0.3613994988955075,0.26836596452636696
43,50,140,94,0.5009498004492183,0.33635200887304656,0.5045280133095699,0.33993022173339815
44,37,102,36,0.3649777117558591,0.12881566297265615,0.3685559246162106,0.13239387583300768
45,60,94,66,0.33635200887304656,0.23616204878320293,0.33993022173339815,0.23974026164355447
46,27,72,90,0.2576313259453123,0.32203915743164035,0.26120953880566383,0.3256173702919919
47,35,38,80,0.13597208869335925,0.28625702882812476,0.13955030155371081,0.2898352416884763
48,38,220,41,0.7872068292773431,0.14670672727441395,0.7907850421376946,0.15028494013476548
49,35,143,16,0.5116844390302729,0.05725140576562495,0.5152626518906246,0.06082961862597651
50,39,211,109,0.755002913534179,0.39002520177831995,0.7585811263945306,0.39360341463867154
51,48,95,52,0.33993022173339815,0.18606706873828108,0.3435084345937497,0.18964528159863264
52,4,63,120,0.22542741020214824,0.42938554324218714,0.2290056230624998,0.4329637561025387
53,39,28,30,0.10018996008984367,0.10734638581054678,0.10376817295019522,0.11092459867089834
54,16,187,115,0.6691258048857416,0.41149447894042934,0.6727040177460931,0.4150726918007809
55,55,191,37,0.6834386563271478,0.13239387583300768,0.6870168691874994,0.13597208869335925
56,26,80,94,0.28625702882812476,0.33635200887304656,0.2898352416884763,0.33993022173339815
57,67,65,76,0.23258383592285137,0.2719441773867185,0.23616204878320293,0.2755223902470701
58,32,81,22,0.2898352416884763,0.0787206829277343,0.2934134545488279,0.08229889578808587
59,50,93,58,0.332773796012695,0.20753634590039044,0.33635200887304656,0.211114558760742
60,27,37,111,0.13239387583300768,0.3971816274990231,0.13597208869335925,0.4007598403593747
61,25,57,24,0.20395813304003887,0.08587710864843742,0.20753634590039044,0.08945532150878899
62,62,45,87,0.16101957871582018,0.3113045188505857,0.16459779157617174,0.3148827317109372
63,12,254,37,0.9088660665292961,0.13239387583300768,0.9124442793896477,0.13597208869335925
64,26,119,62,0.42580733038183555,0.22184919734179667,0.42938554324218714,0.22542741020214824
65,33,126,16,0.4508548204042965,0.05725140576562495,0.45443303326464807,0.06082961862597651
66,39,140,57,0.5009498004492183,0.20395813304003887,0.5045280133095699,0.20753634590039044
67,64,164,91,0.5868269090976558,0.3256173702919919,0.5904051219580073,0.3291955831523435
68,34,181,15,0.6476565277236322,0.05367319290527339,0.6512347405839838,0.05725140576562495
69,54,149,47,0.5331537161923824,0.16817600443652328,0.5367319290527339,0.17175421729687484
70,61,28,52,0.10018996008984367,0.18606706873828108,0.10376817295019522,0.18964528159863264
71,52,204,68,0.7299554235117182,0.24331847450390603,0.7335336363720697,0.2468966873642576
72,47,21,55,0.07514247006738274,0.19680170731933577,0.0787206829277343,0.20037992017968734
73,28,116,14,0.4150726918007809,0.050094980044921834,0.4186509046611325,0.05367319290527339
74,54,80,33,0.28625702882812476,0.11808102439160147,0.2898352416884763,0.12165923725195302
75,25,147,112,0.5259972904716792,0.4007598403593747,0.5295755033320307,0.4043380532197262
76,42,166,48,0.5939833348183589,0.17175421729687484,0.5975615476787104,0.1753324301572264
77,28,186,89,0.66554759202539,0.31846094457128876,0.6691258048857416,0.32203915743164035
78,49,108,89,0.3864469889179684,0.31846094457128876,0.39002520177831995,0.32203915743164035
79,27,180,50,0.6440783148632807,0.17891064301757797,0.6476565277236322,0.18248885587792954
80,43,230,26,0.8229889578808587,0.09303353436914054,0.8265671707412102,0.0966117472294921
81,49,190,56,0.6798604434667963,0.20037992017968734,0.6834386563271478,0.20395813304003887
82,36,59,114,0.211114558760742,0.40791626608007775,0.21469277162109357,0.41149447894042934
83,39,24,103,0.08587710864843742,0.3685559246162106,0.08945532150878899,0.37213413747656215
84,52,155,62,0.5546229933544917,0.22184919734179667,0.5582012062148433,0.22542741020214824
85,56,57,51,0.20395813304003887,0.18248885587792954,0.20753634590039044,0.18606706873828108
86,37,205,112,0.7335336363720697,0.4007598403593747,0.7371118492324212,0.4043380532197262
87,72,56,89,0.20037992017968734,0.31846094457128876,0.20395813304003887,0.32203915743164035
88,36,52,22,0.18606706873828108,0.0787206829277343,0.18964528159863264,0.08229889578808587
89,35,196,29,0.7013297206289056,0.10376817295019522,0.7049079334892572,0.10734638581054678
90,42,157,30,0.5617794190751948,0.10734638581054678,0.5653576319355463,0.11092459867089834
91,39,56,32,0.20037992017968734,0.1145028115312499,0.20395813304003887,0.11808102439160147
92,59,145,69,0.5188408647509761,0.2468966873642576,0.5224190776113277,0.25047490022460916
93,67,103,67,0.3685559246162106,0.23974026164355447,0.37213413747656215,0.24331847450390603
94,36,110,34,0.39360341463867154,0.12165923725195302,0.3971816274990231,0.12523745011230458
95,28,42,57,0.15028494013476548,0.20395813304003887,0.15386315299511705,0.20753634590039044
